"transcription_survey_name","chain_name","seed_id","message_id","text","n","order"
"first-gen-partial-1","glass",34,159,"dingdingding",8,1
"first-gen-partial-1","glass",34,101,"tingtingting",5,1
"first-gen-partial-1","glass",34,116,"dicdicdic",3,1
"first-gen-partial-1","glass",34,116,"tititic",2,2
"first-gen-partial-1","glass",34,136,"taateh",2,1
"first-gen-partial-1","glass",34,136,"titituh",2,2
"first-gen-partial-1","glass",34,159,"dingdingling",2,2
"first-gen-partial-1","glass",34,101,"tendingping",1,2
"first-gen-partial-1","glass",34,101,"tingtangtang",1,3
"first-gen-partial-1","glass",34,101,"tingtangting",1,4
"first-gen-partial-1","glass",34,116,"adiktiktik",1,3
"first-gen-partial-1","glass",34,116,"d-d-d",1,4
"first-gen-partial-1","glass",34,136,"chirpaloon",1,3
"first-gen-partial-1","glass",34,136,"tah tah teh",1,4
"first-gen-partial-1","glass",34,159,"binbindlin",1,3
"first-gen-partial-1","glass",34,159,"dengdinning",1,4
"first-gen-partial-1","glass",35,87,"erf",2,1
"first-gen-partial-1","glass",35,172,"erer",2,1
"first-gen-partial-1","glass",35,172,"errerr",2,2
"first-gen-partial-1","glass",35,56,"bahdumdum",1,1
"first-gen-partial-1","glass",35,56,"berruthump",1,2
"first-gen-partial-1","glass",35,56,"blirrta",1,3
"first-gen-partial-1","glass",35,56,"bridum",1,4
"first-gen-partial-1","glass",35,87,"arf",1,2
"first-gen-partial-1","glass",35,87,"arn",1,3
"first-gen-partial-1","glass",35,87,"earp",1,4
"first-gen-partial-1","glass",35,143,"bupcuititit",1,1
"first-gen-partial-1","glass",35,143,"chirck",1,2
"first-gen-partial-1","glass",35,143,"chkackk",1,3
"first-gen-partial-1","glass",35,143,"choouk",1,4
"first-gen-partial-1","glass",35,172,"ehrehr",1,3
"first-gen-partial-1","glass",35,172,"ehrrert",1,4
"first-gen-partial-1","glass",36,72,"booeep",1,1
"first-gen-partial-1","glass",36,72,"boooe",1,2
"first-gen-partial-1","glass",36,72,"ciiia",1,3
"first-gen-partial-1","glass",36,72,"dirrng",1,4
"first-gen-partial-1","glass",37,63,"moonk",3,1
"first-gen-partial-1","glass",37,63,"boonk",2,2
"first-gen-partial-1","glass",37,63,"munk",2,3
"first-gen-partial-1","glass",37,63,"noonk",2,4
"first-gen-partial-1","tear",38,62,"phfffft",1,1
"first-gen-partial-1","tear",38,62,"pseup",1,2
"first-gen-partial-1","tear",38,62,"scheeept",1,3
"first-gen-partial-1","tear",38,62,"scheilpt",1,4
"first-gen-partial-1","tear",39,86,"peeeew",1,1
"first-gen-partial-1","tear",39,86,"pewfle",1,2
"first-gen-partial-1","tear",39,86,"pewuufth",1,3
"first-gen-partial-1","tear",39,86,"pewww",1,4
"first-gen-partial-1","tear",39,135,"ashey",1,1
"first-gen-partial-1","tear",39,135,"feeshefee",1,2
"first-gen-partial-1","tear",39,135,"fffffuh",1,3
"first-gen-partial-1","tear",39,135,"kiiychh",1,4
"first-gen-partial-1","tear",39,138,"cogsvsh",1,1
"first-gen-partial-1","tear",39,138,"criui",1,2
"first-gen-partial-1","tear",39,138,"cui-shi-shhht",1,3
"first-gen-partial-1","tear",39,138,"goysoochee",1,4
"first-gen-partial-1","tear",40,145,"eeekh",1,1
"first-gen-partial-1","tear",40,145,"hhhweerrr",1,2
"first-gen-partial-1","tear",40,145,"kwoooooop",1,3
"first-gen-partial-1","tear",40,145,"kwou",1,4
"first-gen-partial-1","tear",40,204,"choo",1,1
"first-gen-partial-1","tear",40,204,"chshew",1,2
"first-gen-partial-1","tear",40,204,"hshiew",1,3
"first-gen-partial-1","tear",40,204,"kkchuuu",1,4
"first-gen-partial-1","tear",41,114,"psht",3,1
"first-gen-partial-1","tear",41,59,"shhhh",2,1
"first-gen-partial-1","tear",41,59,"shuwuhuhshw",2,2
"first-gen-partial-1","tear",41,114,"pshhht",2,2
"first-gen-partial-1","tear",41,59,"fffhhhhhttt",1,3
"first-gen-partial-1","tear",41,59,"heshroo",1,4
"first-gen-partial-1","tear",41,91,"ferhhhh",1,1
"first-gen-partial-1","tear",41,91,"fmmb",1,2
"first-gen-partial-1","tear",41,91,"frhdh",1,3
"first-gen-partial-1","tear",41,91,"fueuh",1,4
"first-gen-partial-1","tear",41,100,"cavemanning",1,1
"first-gen-partial-1","tear",41,100,"ccccchhhhyeaahh",1,2
"first-gen-partial-1","tear",41,100,"chaaaaa",1,3
"first-gen-partial-1","tear",41,100,"chea",1,4
"first-gen-partial-1","tear",41,114,"beeepks",1,3
"first-gen-partial-1","tear",41,114,"pcht",1,4
"first-gen-partial-1","water",42,58,"bhacsshhcawit",1,1
"first-gen-partial-1","water",42,58,"bhhchchtchwweet",1,2
"first-gen-partial-1","water",42,58,"boococucuwich",1,3
"first-gen-partial-1","water",42,58,"buh ruh ka taruh",1,4
"first-gen-partial-1","water",42,112,"bbrrrrlipp",1,1
"first-gen-partial-1","water",42,112,"bloot",1,2
"first-gen-partial-1","water",42,112,"brdrd",1,3
"first-gen-partial-1","water",42,112,"brilup",1,4
"first-gen-partial-1","water",42,137,"chojoeese",1,1
"first-gen-partial-1","water",42,137,"chuzushth",1,2
"first-gen-partial-1","water",42,137,"dojewisss",1,3
"first-gen-partial-1","water",42,137,"foreignsneeze",1,4
"first-gen-partial-1","water",43,50,"psh psh psh",2,1
"first-gen-partial-1","water",43,224,"woosh",2,1
"first-gen-partial-1","water",43,50,"bhszh bhszh bhszh bhszh",1,2
"first-gen-partial-1","water",43,50,"cheeop cheeop cheeop",1,3
"first-gen-partial-1","water",43,50,"fshfshfsh",1,4
"first-gen-partial-1","water",43,224,"chhuueeuuchehchue",1,2
"first-gen-partial-1","water",43,224,"chwoochwooochwooo",1,3
"first-gen-partial-1","water",43,224,"hrrewwwreerewww",1,4
"first-gen-partial-1","water",44,153,"goodvuh",2,1
"first-gen-partial-1","water",44,92,"bloomp",1,1
"first-gen-partial-1","water",44,92,"douo",1,2
"first-gen-partial-1","water",44,92,"hoosh",1,3
"first-gen-partial-1","water",44,92,"huurr",1,4
"first-gen-partial-1","water",44,153,"bhuh",1,2
"first-gen-partial-1","water",44,153,"bihihngnah",1,3
"first-gen-partial-1","water",44,153,"blilidblu",1,4
"first-gen-partial-1","water",44,214,"atoadelchoo",1,1
"first-gen-partial-1","water",44,214,"atuatil",1,2
"first-gen-partial-1","water",44,214,"batompt",1,3
"first-gen-partial-1","water",44,214,"bichuzup",1,4
"first-gen-partial-1","water",44,220,"aeoyesh",1,1
"first-gen-partial-1","water",44,220,"ashtoosh",1,2
"first-gen-partial-1","water",44,220,"ashuwe",1,3
"first-gen-partial-1","water",44,220,"ashwoosh",1,4
"first-gen-partial-1","water",45,95,"glongglong",4,1
"first-gen-partial-1","water",45,95,"glong",3,2
"first-gen-partial-1","water",45,52,"aiwatchedoo",2,1
"first-gen-partial-1","water",45,95,"glong-glong",2,3
"first-gen-partial-1","water",45,95,"glonglon",2,4
"first-gen-partial-1","water",45,52,"awakawush",1,2
"first-gen-partial-1","water",45,52,"awakshuashu",1,3
"first-gen-partial-1","water",45,52,"awwah-chowah",1,4
"first-gen-partial-1","zipper",46,55,"chreeph",1,1
"first-gen-partial-1","zipper",46,55,"crowup",1,2
"first-gen-partial-1","zipper",46,55,"efof",1,3
"first-gen-partial-1","zipper",46,55,"errakspugh",1,4
"first-gen-partial-1","zipper",46,60,"dsszzshd",1,1
"first-gen-partial-1","zipper",46,60,"dzesh",1,2
"first-gen-partial-1","zipper",46,60,"dzsht",1,3
"first-gen-partial-1","zipper",46,60,"eeee",1,4
"first-gen-partial-1","zipper",46,90,"apeing",1,1
"first-gen-partial-1","zipper",46,90,"auuhaa",1,2
"first-gen-partial-1","zipper",46,90,"euah",1,3
"first-gen-partial-1","zipper",46,90,"euuh",1,4
"first-gen-partial-1","zipper",47,113,"zoop",12,1
"first-gen-partial-1","zipper",47,53,"zoop",2,1
"first-gen-partial-1","zipper",47,53,"choo",1,2
"first-gen-partial-1","zipper",47,53,"dright",1,3
"first-gen-partial-1","zipper",47,53,"heerouf",1,4
"first-gen-partial-1","zipper",47,113,"schoop",1,2
"first-gen-partial-1","zipper",47,113,"soop",1,3
"first-gen-partial-1","zipper",47,113,"sssoup",1,4
"first-gen-partial-1","zipper",47,117,"irii",1,1
"first-gen-partial-1","zipper",47,117,"mooeep",1,2
"first-gen-partial-1","zipper",47,117,"puherreh",1,3
"first-gen-partial-1","zipper",47,117,"reep",1,4
"first-gen-partial-1","zipper",47,139,"greero",1,1
"first-gen-partial-1","zipper",47,139,"mariurh",1,2
"first-gen-partial-1","zipper",47,139,"mreuw",1,3
"first-gen-partial-1","zipper",47,139,"raer",1,4
"first-gen-partial-1","zipper",48,103,"fffft",2,1
"first-gen-partial-1","zipper",48,103,"ssst",2,2
"first-gen-partial-1","zipper",48,70,"arrgt",1,1
"first-gen-partial-1","zipper",48,70,"briww",1,2
"first-gen-partial-1","zipper",48,70,"broo",1,3
"first-gen-partial-1","zipper",48,70,"erufh",1,4
"first-gen-partial-1","zipper",48,103,"eerrjitzit",1,3
"first-gen-partial-1","zipper",48,103,"ffttt",1,4
"first-gen-partial-1","zipper",49,94,"bizzurp",2,1
"first-gen-partial-1","zipper",49,94,"bzzzzup",2,2
"first-gen-partial-1","zipper",49,94,"zerp",2,3
"first-gen-partial-1","zipper",49,65,"brrip",1,1
"first-gen-partial-1","zipper",49,65,"eerip",1,2
"first-gen-partial-1","zipper",49,65,"errrah",1,3
"first-gen-partial-1","zipper",49,65,"grrir",1,4
"first-gen-partial-1","zipper",49,94,"beehzuhp",1,4
"first-gen-partial-1","zipper",49,118,"anh",1,1
"first-gen-partial-1","zipper",49,118,"ghuen",1,2
"first-gen-partial-1","zipper",49,118,"gloongoowahh",1,3
"first-gen-partial-1","zipper",49,118,"gwak",1,4
"first-gen-partial-1","zipper",49,132,"ashair",1,1
"first-gen-partial-1","zipper",49,132,"evrrrrr",1,2
"first-gen-partial-1","zipper",49,132,"pptohhee",1,3
"first-gen-partial-1","zipper",49,132,"rrgh",1,4
