"question_id","choices","message_id","survey_id","answer","seed_id","chain_name","question_type","survey_name","num_questions_per_player","survey_type"
149,"[34, 38, 42, 46]",116,8,34,34,"glass","true_seed","between-1",10,"between"
150,"[34, 38, 42, 46]",115,8,42,42,"water","true_seed","between-1",10,"between"
128,"[35, 39, 43, 47]",87,7,35,35,"glass","true_seed","between-2",10,"between"
133,"[35, 39, 43, 47]",86,7,39,39,"tear","true_seed","between-2",10,"between"
135,"[35, 39, 43, 47]",135,7,39,39,"tear","true_seed","between-2",10,"between"
127,"[35, 39, 43, 47]",88,7,43,43,"water","true_seed","between-2",10,"between"
122,"[36, 40, 44, 48]",36,6,36,36,"glass","catch_trial","between-3",10,"between"
105,"[36, 40, 44, 48]",110,6,40,40,"tear","true_seed","between-3",10,"between"
115,"[36, 40, 44, 48]",204,6,40,40,"tear","true_seed","between-3",10,"between"
107,"[36, 40, 44, 48]",70,6,48,48,"zipper","true_seed","between-3",10,"between"
103,"[37, 41, 45, 49]",37,5,37,37,"glass","catch_trial","between-4",10,"between"
94,"[37, 41, 45, 49]",132,5,49,49,"zipper","true_seed","between-4",10,"between"
184,"[34, 38, 42, 46]",87,10,34,35,"glass","category_match","same-1",10,"same"
179,"[34, 38, 42, 46]",110,10,38,40,"tear","category_match","same-1",10,"same"
197,"[34, 38, 42, 46]",86,10,38,39,"tear","category_match","same-1",10,"same"
204,"[34, 38, 42, 46]",135,10,38,39,"tear","category_match","same-1",10,"same"
183,"[34, 38, 42, 46]",88,10,42,43,"water","category_match","same-1",10,"same"
194,"[34, 38, 42, 46]",132,10,46,49,"zipper","category_match","same-1",10,"same"
233,"[35, 39, 43, 47]",116,11,35,34,"glass","category_match","same-2",10,"same"
237,"[35, 39, 43, 47]",110,11,39,40,"tear","category_match","same-2",10,"same"
265,"[35, 39, 43, 47]",204,11,39,40,"tear","category_match","same-2",10,"same"
234,"[35, 39, 43, 47]",115,11,43,42,"water","category_match","same-2",10,"same"
246,"[35, 39, 43, 47]",70,11,47,48,"zipper","category_match","same-2",10,"same"
252,"[35, 39, 43, 47]",132,11,47,49,"zipper","category_match","same-2",10,"same"
289,"[36, 40, 44, 48]",116,12,36,34,"glass","category_match","same-3",10,"same"
297,"[36, 40, 44, 48]",87,12,36,35,"glass","category_match","same-3",10,"same"
329,"[36, 40, 44, 48]",36,12,36,36,"glass","catch_trial","same-3",10,"same"
311,"[36, 40, 44, 48]",86,12,40,39,"tear","category_match","same-3",10,"same"
315,"[36, 40, 44, 48]",135,12,40,39,"tear","category_match","same-3",10,"same"
290,"[36, 40, 44, 48]",115,12,44,42,"water","category_match","same-3",10,"same"
296,"[36, 40, 44, 48]",88,12,44,43,"water","category_match","same-3",10,"same"
307,"[36, 40, 44, 48]",132,12,48,49,"zipper","category_match","same-3",10,"same"
340,"[37, 41, 45, 49]",116,13,37,34,"glass","category_match","same-4",10,"same"
348,"[37, 41, 45, 49]",87,13,37,35,"glass","category_match","same-4",10,"same"
382,"[37, 41, 45, 49]",37,13,37,37,"glass","catch_trial","same-4",10,"same"
344,"[37, 41, 45, 49]",110,13,41,40,"tear","category_match","same-4",10,"same"
360,"[37, 41, 45, 49]",86,13,41,39,"tear","category_match","same-4",10,"same"
367,"[37, 41, 45, 49]",135,13,41,39,"tear","category_match","same-4",10,"same"
373,"[37, 41, 45, 49]",204,13,41,40,"tear","category_match","same-4",10,"same"
341,"[37, 41, 45, 49]",115,13,45,42,"water","category_match","same-4",10,"same"
347,"[37, 41, 45, 49]",88,13,45,43,"water","category_match","same-4",10,"same"
353,"[37, 41, 45, 49]",70,13,49,48,"zipper","category_match","same-4",10,"same"
