question_id,choices,given,survey_id,answer,seed_id,chain_name,question_type
1,"[34, 35, 36, 37]",56,1,35,35,glass,true_seed
123,"[35, 39, 43, 47]",56,7,35,35,glass,true_seed
2,"[34, 35, 36, 37]",61,1,35,35,glass,true_seed
125,"[35, 39, 43, 47]",61,7,35,35,glass,true_seed
3,"[34, 35, 36, 37]",63,1,37,37,glass,true_seed
87,"[37, 41, 45, 49]",63,5,37,37,glass,true_seed
4,"[34, 35, 36, 37]",111,1,36,36,glass,true_seed
104,"[36, 40, 44, 48]",111,6,36,36,glass,true_seed
5,"[34, 35, 36, 37]",116,1,34,34,glass,true_seed
149,"[34, 38, 42, 46]",116,8,34,34,glass,true_seed
6,"[34, 35, 36, 37]",101,1,34,34,glass,true_seed
151,"[34, 38, 42, 46]",101,8,34,34,glass,true_seed
7,"[34, 35, 36, 37]",72,1,36,36,glass,true_seed
106,"[36, 40, 44, 48]",72,6,36,36,glass,true_seed
8,"[34, 35, 36, 37]",87,1,35,35,glass,true_seed
128,"[35, 39, 43, 47]",87,7,35,35,glass,true_seed
9,"[34, 35, 36, 37]",172,1,35,35,glass,true_seed
131,"[35, 39, 43, 47]",172,7,35,35,glass,true_seed
10,"[34, 35, 36, 37]",159,1,34,34,glass,true_seed
157,"[34, 38, 42, 46]",159,8,34,34,glass,true_seed
11,"[34, 35, 36, 37]",143,1,35,35,glass,true_seed
132,"[35, 39, 43, 47]",143,7,35,35,glass,true_seed
12,"[34, 35, 36, 37]",136,1,34,34,glass,true_seed
159,"[34, 38, 42, 46]",136,8,34,34,glass,true_seed
13,"[34, 35, 36, 37]",210,1,37,37,glass,true_seed
96,"[37, 41, 45, 49]",210,5,37,37,glass,true_seed
14,"[34, 35, 36, 37]",215,1,37,37,glass,true_seed
97,"[37, 41, 45, 49]",215,5,37,37,glass,true_seed
15,"[34, 35, 36, 37]",245,1,37,37,glass,true_seed
98,"[37, 41, 45, 49]",245,5,37,37,glass,true_seed
16,"[34, 35, 36, 37]",277,1,36,36,glass,true_seed
118,"[36, 40, 44, 48]",277,6,36,36,glass,true_seed
17,"[34, 35, 36, 37]",34,1,34,34,glass,catch_trial
164,"[34, 38, 42, 46]",34,8,34,34,glass,catch_trial
168,"[34, 38, 42, 46]",34,9,34,34,glass,catch_trial
18,"[34, 35, 36, 37]",35,1,35,35,glass,catch_trial
143,"[35, 39, 43, 47]",35,7,35,35,glass,catch_trial
19,"[34, 35, 36, 37]",36,1,36,36,glass,catch_trial
122,"[36, 40, 44, 48]",36,6,36,36,glass,catch_trial
20,"[34, 35, 36, 37]",37,1,37,37,glass,catch_trial
103,"[37, 41, 45, 49]",37,5,37,37,glass,catch_trial
21,"[38, 39, 40, 41]",54,2,38,38,tear,true_seed
144,"[34, 38, 42, 46]",54,8,38,38,tear,true_seed
22,"[38, 39, 40, 41]",62,2,38,38,tear,true_seed
145,"[34, 38, 42, 46]",62,8,38,38,tear,true_seed
23,"[38, 39, 40, 41]",59,2,41,41,tear,true_seed
85,"[37, 41, 45, 49]",59,5,41,41,tear,true_seed
24,"[38, 39, 40, 41]",51,2,38,38,tear,true_seed
147,"[34, 38, 42, 46]",51,8,38,38,tear,true_seed
25,"[38, 39, 40, 41]",71,2,38,38,tear,true_seed
152,"[34, 38, 42, 46]",71,8,38,38,tear,true_seed
26,"[38, 39, 40, 41]",110,2,40,40,tear,true_seed
105,"[36, 40, 44, 48]",110,6,40,40,tear,true_seed
27,"[38, 39, 40, 41]",91,2,41,41,tear,true_seed
88,"[37, 41, 45, 49]",91,5,41,41,tear,true_seed
28,"[38, 39, 40, 41]",100,2,41,41,tear,true_seed
89,"[37, 41, 45, 49]",100,5,41,41,tear,true_seed
29,"[38, 39, 40, 41]",98,2,39,39,tear,true_seed
130,"[35, 39, 43, 47]",98,7,39,39,tear,true_seed
30,"[38, 39, 40, 41]",86,2,39,39,tear,true_seed
133,"[35, 39, 43, 47]",86,7,39,39,tear,true_seed
31,"[38, 39, 40, 41]",145,2,40,40,tear,true_seed
110,"[36, 40, 44, 48]",145,6,40,40,tear,true_seed
32,"[38, 39, 40, 41]",114,2,41,41,tear,true_seed
95,"[37, 41, 45, 49]",114,5,41,41,tear,true_seed
33,"[38, 39, 40, 41]",140,2,40,40,tear,true_seed
113,"[36, 40, 44, 48]",140,6,40,40,tear,true_seed
34,"[38, 39, 40, 41]",135,2,39,39,tear,true_seed
135,"[35, 39, 43, 47]",135,7,39,39,tear,true_seed
35,"[38, 39, 40, 41]",138,2,39,39,tear,true_seed
136,"[35, 39, 43, 47]",138,7,39,39,tear,true_seed
36,"[38, 39, 40, 41]",204,2,40,40,tear,true_seed
115,"[36, 40, 44, 48]",204,6,40,40,tear,true_seed
